Name,DOB,,Party,,,State Code,Active,Occupation,Us Start date,District
"Veasey, Marc A.",1962-10-28,,Democratic,1234535118,vea@gail.co,48,1,,1962-10-28,33
"Johnson, Eddie Bernice",1962-10-29,,Democratic,1234535119,joh@gail.co,48,1,,1962-10-29,30
"Burgess, Michael C.",1962-10-30,,Republican,1234535120,bur@gail.co,48,1,,1962-10-30,26
"Carter, John R.",1962-10-31,,Republican,1234535121,car@gail.co,48,1,,1962-10-31,31
"Babin, Brian",1962-11-01,,Republican,1234535122,bab@gail.co,48,1,,1962-11-01,36
"Gohmert, Louie",1962-11-02,,Republican,1234535123,goh@gail.co,48,1,,1962-11-02,1
"Jackson Lee, Sheila",1962-11-03,,Democratic,1234535124,jac@gail.co,48,1,,1962-11-03,18
"McCaul, Michael T.",1962-11-04,,Republican,1234535125,mcc@gail.co,48,1,,1962-11-04,10
"Granger, Kay",1962-11-05,,Republican,1234535126,gra@gail.co,48,1,,1962-11-05,12
"Thornberry, Mac",1962-11-06,,Republican,1234535127,tho@gail.co,48,1,,1962-11-06,13
"Green, Al",1962-11-07,,Democratic,1234535128,gre@gail.co,48,1,,1962-11-07,9
"Smith, Lamar",1962-11-08,,Republican,1234535129,smi@gail.co,48,1,,1962-11-08,21
"Rourke, Beto",1962-11-10,,Democratic,1234535131,o&#@gail.co,48,1,,1962-11-10,16
"Brady, Kevin",1962-11-11,,Republican,1234535132,bra@gail.co,48,1,,1962-11-11,8
"Johnson, Sam",1962-11-12,,Republican,1234535133,joh@gail.co,48,1,,1962-11-12,3
"Barton, Joe",1962-11-13,,Republican,1234535134,bar@gail.co,48,1,,1962-11-13,6
"Farenthold, Blake",1962-11-14,,Republican,1234535135,far@gail.co,48,1,,1962-11-14,27
"Culberson, John Abney",1962-11-15,,Republican,1234535136,cul@gail.co,48,1,,1962-11-15,7
"Doggett, Lloyd",1962-11-16,,Democratic,1234535137,dog@gail.co,48,1,,1962-11-16,35
"Sessions, Pete",1962-11-17,,Republican,1234535138,ses@gail.co,48,1,,1962-11-17,32
"Castro, Joaquin",1962-11-18,,Democratic,1234535139,cas@gail.co,48,1,,1962-11-18,20
"Arrington, Jodey",1962-11-19,,Republican,1234535140,arr@gail.co,48,1,,1962-11-19,19
"Williams, Roger",1962-11-20,,Republican,1234535141,wil@gail.co,48,1,,1962-11-20,25
"Gonzalez, Vicente",1962-11-21,,Democratic,1234535142,gon@gail.co,48,1,,1962-11-21,15
"Poe, Ted",1962-11-22,,Republican,1234535143,poe@gail.co,48,1,,1962-11-22,2
"Marchant, Kenny",1962-11-23,,Republican,1234535144,mar@gail.co,48,1,,1962-11-23,24
"Vela, Filemon",1962-11-24,,Democratic,1234535145,vel@gail.co,48,1,,1962-11-24,34
"Flores, Bill",1962-11-25,,Republican,1234535146,flo@gail.co,48,1,,1962-11-25,17
"Hurd, Will",1962-11-26,,Republican,1234535147,hur@gail.co,48,1,,1962-11-26,23
"Ratcliffe, John",1962-11-27,,Republican,1234535148,rat@gail.co,48,1,,1962-11-27,4
"Bishop, Rob",1962-11-28,,Republican,1234535149,bis@gail.co,49,1,,1962-11-28,1
"Stewart, Chris",1962-11-29,,Republican,1234535150,ste@gail.co,49,1,,1962-11-29,2
"Hatch, Orrin G.",1962-11-30,,Republican,1234535151,hat@gail.co,49,1,,1962-11-30,0
"Sanders, Bernard",1962-12-01,,Independent,1234535152,san@gail.co,50,1,,1962-12-01,0
"Plaskett, Stacey E.",1962-12-02,,Democratic,1234535153,pla@gail.co,,1,,1962-12-02,0
"Taylor, Scott",1962-12-03,,Republican,1234535154,tay@gail.co,51,1,,1962-12-03,2
"Warner, Mark R.",1962-12-04,,Democratic,1234535155,war@gail.co,51,1,,1962-12-04,0
"Griffith, H. Morgan",1962-12-05,,Republican,1234535156,gri@gail.co,51,1,,1962-12-05,9
"Comstock, Barbara",1962-12-06,,Republican,1234535157,com@gail.co,51,1,,1962-12-06,10
"McMorris Rodgers, Cathy",1962-12-07,,Republican,1234535158,mcm@gail.co,53,1,,1962-12-07,5
"DelBene, Suzan K.",1962-12-08,,Democratic,1234535159,del@gail.co,53,1,,1962-12-08,1
"Murray, Patty",1962-12-09,,Democratic,1234535160,mur@gail.co,53,1,,1962-12-09,0
"Kilmer, Derek",1962-12-10,,Democratic,1234535161,kil@gail.co,53,1,,1962-12-10,6
"Capito, Shelley Moore",1962-12-11,,Republican,1234535162,cap@gail.co,54,1,,1962-12-11,0
"McKinley, David B.",1962-12-12,,Republican,1234535163,mck@gail.co,54,1,,1962-12-12,1
"Manchin, Joe",1962-12-13,,Democratic,1234535164,man@gail.co,54,1,,1962-12-13,0
"Jenkins, Evan H.",1962-12-14,,Republican,1234535165,jen@gail.co,54,1,,1962-12-14,3
"Baldwin, Tammy",1962-12-15,,Democratic,1234535166,bal@gail.co,55,1,,1962-12-15,0
"Pocan, Mark",1962-12-16,,Democratic,1234535167,poc@gail.co,55,1,,1962-12-16,2
"Ryan, Paul",1962-12-17,,Republican,1234535168,rya@gail.co,55,1,,1962-12-17,1
"Duffy, Sean P.",1962-12-18,,Republican,1234535169,duf@gail.co,55,1,,1962-12-18,7
"Grothman, Glenn",1962-12-19,,Republican,1234535170,gro@gail.co,55,1,,1962-12-19,6
"Gallagher, Mike",1962-12-20,,Republican,1234535171,gal@gail.co,55,1,,1962-12-20,8
"Enzi, Michael B.",1962-12-21,,Republican,1234535172,enz@gail.co,56,1,,1962-12-21,0
"Cheney, Liz",1962-12-22,,Republican,1234535173,che@gail.co,56,1,,1962-12-22,0
"Barrasso, John",1962-12-23,,Republican,1234535174,bar@gail.co,56,1,,1962-12-23,0
